pagSeccion;titulo;href
https://www.pagina12.com.ar/secciones/deportes?page=0;Juegos Paralímpicos: Primera medalla, bronce para la Argentina;https://www.pagina12.com.ar/364252-juegos-paralimpicos-primera-medalla-bronce-para-la-argentina
https://www.pagina12.com.ar/secciones/deportes?page=0;Cristiano Ronaldo vuelve al Manchester United tras 12 años;https://www.pagina12.com.ar/364254-cristiano-ronaldo-vuelve-al-manchester-united-tras-12-anos
https://www.pagina12.com.ar/secciones/deportes?page=0;Rebelión en Europa: Messi arenga a Suárez y a Vidal para jugar las Eliminatorias;https://www.pagina12.com.ar/364267-rebelion-en-europa-messi-arenga-a-suarez-y-a-vidal-para-juga
https://www.pagina12.com.ar/secciones/deportes?page=0;Fórmula 1: Verstappen lideró los entrenamientos en Bélgica;https://www.pagina12.com.ar/364275-formula-1-verstappen-lidero-los-entrenamientos-en-belgica
https://www.pagina12.com.ar/secciones/deportes?page=0;"Cristiano Ronaldo: ""Di mi corazón y mi alma por Juventus""";https://www.pagina12.com.ar/364301-cristiano-ronaldo-di-mi-corazon-y-mi-alma-por-juventus
https://www.pagina12.com.ar/secciones/deportes?page=0;Joe Biden, el PSG de Messi y los millones opacos de la vergüenza ;https://www.pagina12.com.ar/364324-joe-biden-el-psg-de-messi-y-los-millones-opacos-de-la-vergue
https://www.pagina12.com.ar/secciones/deportes?page=0;El boxeo vuelve a Canal 9 de la mano de Marcos Maidana;https://www.pagina12.com.ar/364330-el-boxeo-vuelve-a-canal-9-de-la-mano-de-marcos-maidana
https://www.pagina12.com.ar/secciones/deportes?page=0;Liga italiana: Joaquín Correa hizo dos goles en su debut en el Inter;https://www.pagina12.com.ar/364332-liga-italiana-joaquin-correa-hizo-dos-goles-en-su-debut-en-e
https://www.pagina12.com.ar/secciones/deportes?page=1;Liga de España: Valencia y Mallorca quedaron punteros;https://www.pagina12.com.ar/364368-liga-de-espana-valencia-y-mallorca-quedaron-punteros
https://www.pagina12.com.ar/secciones/deportes?page=1;Liga Profesional: Unión venció a Godoy Cruz en Mendoza;https://www.pagina12.com.ar/364146-liga-profesional-union-vencio-a-godoy-cruz-en-mendoza
https://www.pagina12.com.ar/secciones/deportes?page=1;Talleres venció a Argentinos y llegó a la punta;https://www.pagina12.com.ar/364148-talleres-vencio-a-argentinos-y-llego-a-la-punta
https://www.pagina12.com.ar/secciones/deportes?page=1;US Open: Se realizó el sorteo de los cuadros principales;https://www.pagina12.com.ar/364150-us-open-se-realizo-el-sorteo-de-los-cuadros-principales
https://www.pagina12.com.ar/secciones/deportes?page=1;River superó con claridad a Aldosivi en el Monumental;https://www.pagina12.com.ar/364154-river-supero-con-claridad-a-aldosivi-en-el-monumental
https://www.pagina12.com.ar/secciones/deportes?page=1;Estudiantes se aprovechó de San Lorenzo y también lidera;https://www.pagina12.com.ar/364161-estudiantes-se-aprovecho-de-san-lorenzo-y-tambien-lidera
https://www.pagina12.com.ar/secciones/deportes?page=1;La Liga española tomará medidas cautelares para no ceder a los jugadores;https://www.pagina12.com.ar/364007-la-liga-espanola-tomara-medidas-cautelares-para-no-ceder-a-l
https://www.pagina12.com.ar/secciones/deportes?page=1;PSG y Manchester City, en la misma zona de la Champions League;https://www.pagina12.com.ar/364049-psg-y-manchester-city-en-la-misma-zona-de-la-champions-leagu
https://www.pagina12.com.ar/secciones/deportes?page=1;Martín Karadagian, el gran luchador que pateó el tablero;https://www.pagina12.com.ar/364075-martin-karadagian-el-gran-luchador-que-pateo-el-tablero
https://www.pagina12.com.ar/secciones/deportes?page=1;Enfrentamiento entre hinchas de Estudiantes y Gimnasia La Plata;https://www.pagina12.com.ar/364108-enfrentamiento-entre-hinchas-de-estudiantes-y-gimnasia-la-pl
