pagSeccion;titulo;href
https://www.pagina12.com.ar/secciones/deportes?page=151;San Lorenzo y Quimsa definen la Liga Nacional de Básquet;https://www.pagina12.com.ar/341646-san-lorenzo-y-quimsa-definen-la-liga-nacional-de-basquet
https://www.pagina12.com.ar/secciones/deportes?page=151;¿Con línea de cuatro o de cinco?;https://www.pagina12.com.ar/341653-con-linea-de-cuatro-o-de-cinco
https://www.pagina12.com.ar/secciones/deportes?page=151;Copa América: Exequiel Palacios no podrá jugar para la Selección;https://www.pagina12.com.ar/341655-copa-america-exequiel-palacios-no-podra-jugar-para-la-selecc
https://www.pagina12.com.ar/secciones/deportes?page=151;Facundo Campazzo y una noche en la NBA  con elogios de un exgoleador de Boca;https://www.pagina12.com.ar/341558-facundo-campazzo-y-una-noche-en-la-nba-con-elogios-de-un-exg
https://www.pagina12.com.ar/secciones/deportes?page=151;Russo, dos cambios y una incógnita para el Superclásico;https://www.pagina12.com.ar/341500-russo-dos-cambios-y-una-incognita-para-el-superclasico
https://www.pagina12.com.ar/secciones/deportes?page=151;River llegó de Colombia y entrenó de tarde pensando en Boca;https://www.pagina12.com.ar/341502-river-llego-de-colombia-y-entreno-de-tarde-pensando-en-boca
https://www.pagina12.com.ar/secciones/deportes?page=151;Copa Libertadores: Vélez derrotó a Liga de Quito y está segundo;https://www.pagina12.com.ar/341512-copa-libertadores-velez-derroto-a-liga-de-quito-y-esta-segun
https://www.pagina12.com.ar/secciones/deportes?page=151;Copa Sudamericana: Lanús perdió y quedó al borde de la eliminación;https://www.pagina12.com.ar/341516-copa-sudamericana-lanus-perdio-y-quedo-al-borde-de-la-elimin
https://www.pagina12.com.ar/secciones/deportes?page=151;Delbonis venció a Auger-Aliassime y ya está en los cuartos de final de Roma;https://www.pagina12.com.ar/341356-delbonis-vencio-a-auger-aliassime-y-ya-esta-en-los-cuartos-d
https://www.pagina12.com.ar/secciones/deportes?page=151;La Conmebol cayó demasiado bajo;https://www.pagina12.com.ar/341366-la-conmebol-cayo-demasiado-bajo
