pagSeccion;titulo;href
https://www.pagina12.com.ar/secciones/economia?page=0;Acuerdo para promocionar la edición, impresión y comercialización de libros;https://www.pagina12.com.ar/364329-acuerdo-para-promocionar-la-edicion-impresion-y-comercializa
https://www.pagina12.com.ar/secciones/economia?page=0;Subieron las acciones y los bonos;https://www.pagina12.com.ar/364334-subieron-las-acciones-y-los-bonos
https://www.pagina12.com.ar/secciones/economia?page=0;"""La recuperación es el resultado de políticas económicas concretas""";https://www.pagina12.com.ar/364351-la-recuperacion-es-el-resultado-de-politicas-economicas-conc
https://www.pagina12.com.ar/secciones/economia?page=0;Los electrodomésticos pisan tierra pre pandémica;https://www.pagina12.com.ar/364360-los-electrodomesticos-pisan-tierra-pre-pandemica
https://www.pagina12.com.ar/secciones/economia?page=0;Dólares: Más demanda para ahorro, menos por viajes;https://www.pagina12.com.ar/364377-dolares-mas-demanda-para-ahorro-menos-por-viajes
https://www.pagina12.com.ar/secciones/economia?page=0;UTA anunció un paro de micros de larga distancia por 72 horas;https://www.pagina12.com.ar/364273-uta-anuncio-un-paro-de-micros-de-larga-distancia-por-72-hora
https://www.pagina12.com.ar/secciones/economia?page=0;Jubilados agosto 2021: quiénes cobran hoy;https://www.pagina12.com.ar/358249-jubilados-agosto-2021-quienes-cobran-hoy
https://www.pagina12.com.ar/secciones/economia?page=0;Dólar blue hoy: a cuánto cotiza el viernes 27 de agosto;https://www.pagina12.com.ar/364232-dolar-blue-hoy-a-cuanto-cotiza-el-viernes-27-de-agosto
https://www.pagina12.com.ar/secciones/economia?page=1;Medidas de alivio fiscal para monotributistas;https://www.pagina12.com.ar/364103-medidas-de-alivio-fiscal-para-monotributistas
https://www.pagina12.com.ar/secciones/economia?page=1;De la mano del boom del agro;https://www.pagina12.com.ar/364137-de-la-mano-del-boom-del-agro
https://www.pagina12.com.ar/secciones/economia?page=1;Martín Guzmán desnudó las falacias de Mauricio Macri y María Eugenia Vidal ;https://www.pagina12.com.ar/364153-martin-guzman-desnudo-las-falacias-de-mauricio-macri-y-maria
https://www.pagina12.com.ar/secciones/economia?page=1;Aumento de precios especulando con la demanda por la pandemia;https://www.pagina12.com.ar/364162-aumento-de-precios-especulando-con-la-demanda-por-la-pandemi
https://www.pagina12.com.ar/secciones/economia?page=1;Anticipan acuerdo de Kicillof por la deuda;https://www.pagina12.com.ar/364164-anticipan-acuerdo-de-kicillof-por-la-deuda
https://www.pagina12.com.ar/secciones/economia?page=1;"""No es un rebote, la recuperación vino para quedarse""";https://www.pagina12.com.ar/363923-no-es-un-rebote-la-recuperacion-vino-para-quedarse
https://www.pagina12.com.ar/secciones/economia?page=1;Créditos a tasa cero para monotributistas: cómo pedirlos y los requisitos;https://www.pagina12.com.ar/363997-creditos-a-tasa-cero-para-monotributistas-como-pedirlos-y-lo
https://www.pagina12.com.ar/secciones/economia?page=1;"""Incipiente pero interesante""";https://www.pagina12.com.ar/364078-incipiente-pero-interesante
https://www.pagina12.com.ar/secciones/economia?page=1;Pesce despejó ruidos con el dólar;https://www.pagina12.com.ar/364079-pesce-despejo-ruidos-con-el-dolar
https://www.pagina12.com.ar/secciones/economia?page=1;Guzmán confirmó un crecimiento del 8 por ciento;https://www.pagina12.com.ar/364080-guzman-confirmo-un-crecimiento-del-8-por-ciento
https://www.pagina12.com.ar/secciones/economia?page=1;Un solo de Larreta y Vidal en el espejo de Macri;https://www.pagina12.com.ar/364089-un-solo-de-larreta-y-vidal-en-el-espejo-de-macri
https://www.pagina12.com.ar/secciones/economia?page=2;Sancionan a la cervecera Quilmes;https://www.pagina12.com.ar/364100-sancionan-a-la-cervecera-quilmes
https://www.pagina12.com.ar/secciones/economia?page=2;Empresarios y sindicalistas apoyaron la gestión industrial;https://www.pagina12.com.ar/364101-empresarios-y-sindicalistas-apoyaron-la-gestion-industrial
https://www.pagina12.com.ar/secciones/economia?page=2;Ventas del Banco Central;https://www.pagina12.com.ar/364165-ventas-del-banco-central
https://www.pagina12.com.ar/secciones/economia?page=2;Dólar blue hoy: a cuánto cotiza el jueves 26 de agosto;https://www.pagina12.com.ar/363986-dolar-blue-hoy-a-cuanto-cotiza-el-jueves-26-de-agosto
https://www.pagina12.com.ar/secciones/economia?page=2;AUH, jubilados y pensionados: el calendario de pagos completo de la ANSES en agosto 2021    ;https://www.pagina12.com.ar/358250-auh-jubilados-y-pensionados-el-calendario-de-pagos-completo-
https://www.pagina12.com.ar/secciones/economia?page=2;Asignaciones de pago único por matrimonio, adopción y nacimiento agosto 2021: la ANSES anunció todas las fechas de cobro  ;https://www.pagina12.com.ar/359539-asignaciones-de-pago-unico-por-matrimonio-adopcion-y-nacimie
https://www.pagina12.com.ar/secciones/economia?page=2;Exportaciones de carne bajo la lupa ;https://www.pagina12.com.ar/363882-exportaciones-de-carne-bajo-la-lupa
https://www.pagina12.com.ar/secciones/economia?page=2;Firman acuerdo de precios con Ternium;https://www.pagina12.com.ar/363905-firman-acuerdo-de-precios-con-ternium
https://www.pagina12.com.ar/secciones/economia?page=2;En la city apuestan a que ya está cerrado el acuerdo con el FMI;https://www.pagina12.com.ar/363906-en-la-city-apuestan-a-que-ya-esta-cerrado-el-acuerdo-con-el-
https://www.pagina12.com.ar/secciones/economia?page=2;Qué puede pasar en Wall Street;https://www.pagina12.com.ar/363909-que-puede-pasar-en-wall-street
https://www.pagina12.com.ar/secciones/economia?page=2;Acuerdo paritario en corredores viales ;https://www.pagina12.com.ar/363920-acuerdo-paritario-en-corredores-viales
https://www.pagina12.com.ar/secciones/economia?page=3;¿Cuánto ganan los cartoneros?;https://www.pagina12.com.ar/363922-cuanto-ganan-los-cartoneros
https://www.pagina12.com.ar/secciones/economia?page=3;En busca de trabajo con la ayuda del Estado;https://www.pagina12.com.ar/363934-en-busca-de-trabajo-con-la-ayuda-del-estado
https://www.pagina12.com.ar/secciones/economia?page=3;Guzmán en una campaña multi target;https://www.pagina12.com.ar/363835-guzman-en-una-campana-multi-target
