pagSeccion;titulo;href
https://www.pagina12.com.ar/secciones/economia?page=266;Campo: compensaciones por las retenciones a la soja;https://www.pagina12.com.ar/303571-campo-compensaciones-por-las-retenciones-a-la-soja
https://www.pagina12.com.ar/secciones/economia?page=266;Fuga de empresas que es puro humo;https://www.pagina12.com.ar/303574-fuga-de-empresas-que-es-puro-humo
https://www.pagina12.com.ar/secciones/economia?page=266;Otro retroceso del dólar blue;https://www.pagina12.com.ar/303586-otro-retroceso-del-dolar-blue
https://www.pagina12.com.ar/secciones/economia?page=266;Pedido por las economías regionales;https://www.pagina12.com.ar/303591-pedido-por-las-economias-regionales
https://www.pagina12.com.ar/secciones/economia?page=267;El plan para la recuperación económica;https://www.pagina12.com.ar/303604-el-plan-para-la-recuperacion-economica
https://www.pagina12.com.ar/secciones/economia?page=267;Mercado Libre ya tiene aviones propios para operar en Brasil;https://www.pagina12.com.ar/303609-mercado-libre-ya-tiene-aviones-propios-para-operar-en-brasil
https://www.pagina12.com.ar/secciones/economia?page=267;CyberMonday 2020: un estudio de la UBA detectó 100 ofertas truchas en el primer día;https://www.pagina12.com.ar/303520-cyber-monday-2020-un-estudio-de-la-uba-detecto-100-ofertas-t
https://www.pagina12.com.ar/secciones/economia?page=267;Pensiones no contributivas noviembre 2020: quiénes cobran hoy;https://www.pagina12.com.ar/303222-pensiones-no-contributivas-noviembre-2020-quienes-cobran-hoy
https://www.pagina12.com.ar/secciones/economia?page=267;"""Caravanazo"" de vecinos y trabajadores aeronáuticos contra Flybondi";https://www.pagina12.com.ar/303277-caravanazo-de-vecinos-y-trabajadores-aeronauticos-contra-fly
https://www.pagina12.com.ar/secciones/economia?page=267;La otra pulseada con los mercados ;https://www.pagina12.com.ar/303309-la-otra-pulseada-con-los-mercados
https://www.pagina12.com.ar/secciones/economia?page=267;La recaudación volvió a ganarle a la inflación;https://www.pagina12.com.ar/303311-la-recaudacion-volvio-a-ganarle-a-la-inflacion
https://www.pagina12.com.ar/secciones/economia?page=267;Cerca de un proyecto de ley;https://www.pagina12.com.ar/303315-cerca-de-un-proyecto-de-ley
https://www.pagina12.com.ar/secciones/economia?page=267;Cómo superar el déficit habitacional;https://www.pagina12.com.ar/303327-como-superar-el-deficit-habitacional
https://www.pagina12.com.ar/secciones/economia?page=267;El cyber monday que será record;https://www.pagina12.com.ar/303333-el-cyber-monday-que-sera-record
https://www.pagina12.com.ar/secciones/economia?page=267;Copal contra el control de precios;https://www.pagina12.com.ar/303338-copal-contra-el-control-de-precios
https://www.pagina12.com.ar/secciones/economia?page=268;Crece el patentamiento de motos;https://www.pagina12.com.ar/303345-crece-el-patentamiento-de-motos
https://www.pagina12.com.ar/secciones/economia?page=268;"Arroyo: ""Hay un déficit serio en materia de vivienda""";https://www.pagina12.com.ar/303360-arroyo-hay-un-deficit-serio-en-materia-de-vivienda
https://www.pagina12.com.ar/secciones/economia?page=268;Señales para domesticar a leones de la city;https://www.pagina12.com.ar/303362-senales-para-domesticar-a-leones-de-la-city
https://www.pagina12.com.ar/secciones/economia?page=268;A pagar con la billetera virtual;https://www.pagina12.com.ar/303366-a-pagar-con-la-billetera-virtual
https://www.pagina12.com.ar/secciones/economia?page=268;Otro pasito atrás del dólar;https://www.pagina12.com.ar/303369-otro-pasito-atras-del-dolar
https://www.pagina12.com.ar/secciones/economia?page=268;Devuelven retenciones a pequeños productores;https://www.pagina12.com.ar/303384-devuelven-retenciones-a-pequenos-productores
https://www.pagina12.com.ar/secciones/economia?page=268;Turismo: extienden el programa Previaje  hasta el 15 de noviembre;https://www.pagina12.com.ar/303225-turismo-extienden-el-programa-previaje-hasta-el-15-de-noviem
https://www.pagina12.com.ar/secciones/economia?page=268;Cuáles son las agencias de la AFIP que retoman la atención presencial y qué trámites se pueden realizar;https://www.pagina12.com.ar/303436-cuales-son-las-agencias-de-la-afip-que-retoman-la-atencion-p
https://www.pagina12.com.ar/secciones/economia?page=268;"Martín Guzmán: ""Buscamos que la brecha cambiaria vaya a cero""";https://www.pagina12.com.ar/303212-martin-guzman-buscamos-que-la-brecha-cambiaria-vaya-a-cero
https://www.pagina12.com.ar/secciones/economia?page=268;El Gobierno anunció que no pedirá recursos del Banco Central hasta fin de año;https://www.pagina12.com.ar/303211-el-gobierno-anuncio-que-no-pedira-recursos-del-banco-central
https://www.pagina12.com.ar/secciones/economia?page=268;Hacia una matriz energética limpia;https://www.pagina12.com.ar/303132-hacia-una-matriz-energetica-limpia
https://www.pagina12.com.ar/secciones/economia?page=269;El difícil mundo laboral de los repartidores;https://www.pagina12.com.ar/303140-el-dificil-mundo-laboral-de-los-repartidores
https://www.pagina12.com.ar/secciones/economia?page=269;Desprivatización de los servicios públicos;https://www.pagina12.com.ar/303148-desprivatizacion-de-los-servicios-publicos
https://www.pagina12.com.ar/secciones/economia?page=269;Las ventas minoristas aceleraron su caída;https://www.pagina12.com.ar/303159-las-ventas-minoristas-aceleraron-su-caida
https://www.pagina12.com.ar/secciones/economia?page=269;La actividad se recupera en los shopping;https://www.pagina12.com.ar/303163-la-actividad-se-recupera-en-los-shopping
https://www.pagina12.com.ar/secciones/economia?page=269;Los devaluadores pierden y están furiosos;https://www.pagina12.com.ar/302967-los-devaluadores-pierden-y-estan-furiosos
https://www.pagina12.com.ar/secciones/economia?page=269;"""El Proyecto Artigas sigue en marcha""";https://www.pagina12.com.ar/302971-el-proyecto-artigas-sigue-en-marcha
