pagSeccion;titulo;href
https://www.pagina12.com.ar/secciones/el-mundo?page=0;Acuerdos parciales entre el gobierno de Venezuela y la oposición;https://www.pagina12.com.ar/366771-acuerdos-parciales-entre-el-gobierno-de-venezuela-y-la-oposi
https://www.pagina12.com.ar/secciones/el-mundo?page=0;Veinte años después del atentado a las Torres Gemelas, identifican a otras dos víctimas ;https://www.pagina12.com.ar/366759-veinte-anos-despues-del-atentado-a-las-torres-gemelas-identi
https://www.pagina12.com.ar/secciones/el-mundo?page=0;Brasil: ¿y ahora qué, Jair Bolsonaro?;https://www.pagina12.com.ar/366758-brasil-y-ahora-que-jair-bolsonaro
https://www.pagina12.com.ar/secciones/el-mundo?page=0;"Celso Amorim:  ""Bolsonaro juega con el temor a un posible golpe, pero no sé si tiene la fuerza para hacerlo""";https://www.pagina12.com.ar/366750-celso-amorim-bolsonaro-juega-con-el-temor-a-un-posible-golpe
https://www.pagina12.com.ar/secciones/el-mundo?page=0;Masivas marchas contra Bolsonaro en más de 160 ciudades de Brasil;https://www.pagina12.com.ar/366736-masivas-marchas-contra-bolsonaro-en-mas-de-160-ciudades-de-b
https://www.pagina12.com.ar/secciones/el-mundo?page=0;Joe Biden anunciará un nuevo plan para contener el avance de la variante Delta ;https://www.pagina12.com.ar/366729-joe-biden-anunciara-un-nuevo-plan-para-contener-el-avance-de
https://www.pagina12.com.ar/secciones/el-mundo?page=0;Afganistán: los talibanes anunciaron un gabinete de línea dura;https://www.pagina12.com.ar/366708-afganistan-los-talibanes-anunciaron-un-gabinete-de-linea-dur
https://www.pagina12.com.ar/secciones/el-mundo?page=0;Bolsonaro sube la apuesta y convoca al Consejo de la República;https://www.pagina12.com.ar/366691-bolsonaro-sube-la-apuesta-y-convoca-al-consejo-de-la-republi
https://www.pagina12.com.ar/secciones/el-mundo?page=1;Afganistán: mujeres y hombres retoman las clases universitarias separados por una cortina;https://www.pagina12.com.ar/366627-afganistan-mujeres-y-hombres-retoman-las-clases-universitari
https://www.pagina12.com.ar/secciones/el-mundo?page=1;El Salvador: en el día de su debut, la billetera virtual de bitcoin dejó de funcionar;https://www.pagina12.com.ar/366617-el-salvador-en-el-dia-de-su-debut-la-billetera-virtual-de-bi
https://www.pagina12.com.ar/secciones/el-mundo?page=1;Marchas en Brasil: Bolsonaro volvió a amenazar a la Corte Suprema;https://www.pagina12.com.ar/366589-marchas-en-brasil-bolsonaro-volvio-a-amenazar-a-la-corte-sup
https://www.pagina12.com.ar/secciones/el-mundo?page=1;Afganistán: los talibanes anunciaron la conquista del valle de Panshir;https://www.pagina12.com.ar/366338-afganistan-los-talibanes-anunciaron-la-conquista-del-valle-d
https://www.pagina12.com.ar/secciones/el-mundo?page=1;Brasil sobrevivirá a Bolsonaro;https://www.pagina12.com.ar/366408-brasil-sobrevivira-a-bolsonaro
https://www.pagina12.com.ar/secciones/el-mundo?page=1;Liberan a un hijo de Muammar Khadafi luego de siete años de cárcel;https://www.pagina12.com.ar/366441-liberan-a-un-hijo-de-muammar-khadafi-luego-de-siete-anos-de-
https://www.pagina12.com.ar/secciones/el-mundo?page=1;Los talibanes invitaron a Angela Merkel a visitar Afganistán;https://www.pagina12.com.ar/366452-los-talibanes-invitaron-a-angela-merkel-a-visitar-afganistan
https://www.pagina12.com.ar/secciones/el-mundo?page=1;En la víspera de la fiesta golpista, más tensión… y Lula;https://www.pagina12.com.ar/366481-en-la-vispera-de-la-fiesta-golpista-mas-tension-y-lula
https://www.pagina12.com.ar/secciones/el-mundo?page=1;Brasil y su democracia, en vilo;https://www.pagina12.com.ar/366499-brasil-y-su-democracia-en-vilo
