pagSeccion;titulo;href
https://www.pagina12.com.ar/secciones/el-mundo?page=400;"De Everton a Bolsonaro: ""No es una gripecita""";https://www.pagina12.com.ar/267389-de-everton-a-bolsonaro-no-es-una-gripecita
https://www.pagina12.com.ar/secciones/el-mundo?page=400;"China amenazó con ""represalias"" si Estados Unidos le aplica sanciones por el coronavirus";https://www.pagina12.com.ar/267332-china-amenazo-con-represalias-si-estados-unidos-le-aplica-sa
https://www.pagina12.com.ar/secciones/el-mundo?page=400;Nuevo record de muertes en Chile por el coronavirus;https://www.pagina12.com.ar/267327-nuevo-record-de-muertes-en-chile-por-el-coronavirus
https://www.pagina12.com.ar/secciones/el-mundo?page=400;Brasil: la pandemia avanza sin freno;https://www.pagina12.com.ar/266962-brasil-la-pandemia-avanza-sin-freno
https://www.pagina12.com.ar/secciones/el-mundo?page=400;En Nueva Zelanda proponen una semana laboral de cuatro días;https://www.pagina12.com.ar/267028-en-nueva-zelanda-proponen-una-semana-laboral-de-cuatro-dias
https://www.pagina12.com.ar/secciones/el-mundo?page=400;"Qué es Virus Shut Out, la ""tarjeta bloqueadora de coronavirus"" que usa Jeanine Áñez";https://www.pagina12.com.ar/267092-que-es-virus-shut-out-la-tarjeta-bloqueadora-de-coronavirus-
https://www.pagina12.com.ar/secciones/el-mundo?page=400;Roma retoma su vida pero el futuro sigue incierto;https://www.pagina12.com.ar/267108-roma-retoma-su-vida-pero-el-futuro-sigue-incierto
https://www.pagina12.com.ar/secciones/el-mundo?page=400;"Los 85 años de José ""Pepe"" Mujica, líder del progresismo latinoamericano";https://www.pagina12.com.ar/267121-los-85-anos-de-jose-pepe-mujica-lider-del-progresismo-latino
https://www.pagina12.com.ar/secciones/el-mundo?page=400;Uruguay: la Marcha del Silencio se renueva en memoria de los desaparecidos;https://www.pagina12.com.ar/267135-uruguay-la-marcha-del-silencio-se-renueva-en-memoria-de-los-
https://www.pagina12.com.ar/secciones/el-mundo?page=400;Cae el ministro de Jeanine Áñez por la compra de respiradores con sobreprecio;https://www.pagina12.com.ar/267150-cae-el-ministro-de-jeanine-anez-por-la-compra-de-respiradore
https://www.pagina12.com.ar/secciones/el-mundo?page=400;Palestina dio por finalizados los acuerdos con Israel y Estados Unidos;https://www.pagina12.com.ar/267174-palestina-dio-por-finalizados-los-acuerdos-con-israel-y-esta
https://www.pagina12.com.ar/secciones/el-mundo?page=401;El farmacéutico Trump;https://www.pagina12.com.ar/267196-el-farmaceutico-trump
https://www.pagina12.com.ar/secciones/el-mundo?page=401;Bolsonaro promueve un Brasil con cloroquina;https://www.pagina12.com.ar/267198-bolsonaro-promueve-un-brasil-con-cloroquina
https://www.pagina12.com.ar/secciones/el-mundo?page=401;Coronovirus en Chile: record de muertes y contagio en medio de protestas por hambre;https://www.pagina12.com.ar/266853-coronovirus-en-chile-record-de-muertes-y-contagio-en-medio-d
