pagSeccion;titulo;href
https://www.pagina12.com.ar/secciones/el-pais?page=400;Internaron a Mario Meoni y le practicaron una angioplastia;https://www.pagina12.com.ar/323141-internaron-a-mario-meoni-y-le-practicaron-una-angioplastia
https://www.pagina12.com.ar/secciones/el-pais?page=400;Causa Correo: Los Macri buscan un tribunal amigo en la ciudad de Buenos Aires;https://www.pagina12.com.ar/323053-causa-correo-los-macri-buscan-un-tribunal-amigo-en-la-ciudad
https://www.pagina12.com.ar/secciones/el-pais?page=400;Acuerdo con Israel para modernizar el vehículo insignia del Ejército Argentino;https://www.pagina12.com.ar/323054-acuerdo-con-israel-para-modernizar-el-vehiculo-insignia-del-
https://www.pagina12.com.ar/secciones/el-pais?page=400;Murió Mario Villani: Una pieza fundamental en la reconstrucción de la memoria y la justicia;https://www.pagina12.com.ar/323062-murio-mario-villani-una-pieza-fundamental-en-la-reconstrucci
https://www.pagina12.com.ar/secciones/el-pais?page=400;En Comodoro Py se pelean por quedarse con la causa del espionaje ilegal macrista;https://www.pagina12.com.ar/323074-en-comodoro-py-se-pelean-por-quedarse-con-la-causa-del-espio
https://www.pagina12.com.ar/secciones/el-pais?page=400;Diputados sancionará el proyecto de sostenibilidad de la deuda;https://www.pagina12.com.ar/323083-diputados-sancionara-el-proyecto-de-sostenibilidad-de-la-deu
https://www.pagina12.com.ar/secciones/el-pais?page=400;Los movimientos sociales se suman al control de precios;https://www.pagina12.com.ar/323090-los-movimientos-sociales-se-suman-al-control-de-precios
https://www.pagina12.com.ar/secciones/el-pais?page=400;Consejo Federal Argentina Contra el Hambre: primera reunión del año;https://www.pagina12.com.ar/323098-consejo-federal-argentina-contra-el-hambre-primera-reunion-d
https://www.pagina12.com.ar/secciones/el-pais?page=400;Bullrich, presta para el papelón con Presto;https://www.pagina12.com.ar/323102-bullrich-presta-para-el-papelon-con-presto
https://www.pagina12.com.ar/secciones/el-pais?page=400;Qué dicen los artículos del Código Procesal Penal que entraron en vigencia;https://www.pagina12.com.ar/322890-que-dicen-los-articulos-del-codigo-procesal-penal-que-entrar
https://www.pagina12.com.ar/secciones/el-pais?page=400;El oficialismo avanza con la modificación del impuesto a las Ganancias;https://www.pagina12.com.ar/323106-el-oficialismo-avanza-con-la-modificacion-del-impuesto-a-las
https://www.pagina12.com.ar/secciones/el-pais?page=401;Un fallido intento de policías bonaerenses de adelantar la protesta ;https://www.pagina12.com.ar/322896-un-fallido-intento-de-policias-bonaerenses-de-adelantar-la-p
https://www.pagina12.com.ar/secciones/el-pais?page=401;Una ley para financiar la ciencia;https://www.pagina12.com.ar/323108-una-ley-para-financiar-la-ciencia
https://www.pagina12.com.ar/secciones/el-pais?page=401;Diez contagiados en las escuelas porteñas;https://www.pagina12.com.ar/322905-diez-contagiados-en-las-escuelas-portenas
https://www.pagina12.com.ar/secciones/el-pais?page=401;Fernando de Andreis, imputado por enriquecimiento ilícito;https://www.pagina12.com.ar/322932-fernando-de-andreis-imputado-por-enriquecimiento-ilicito
https://www.pagina12.com.ar/secciones/el-pais?page=401;Axel Kicillof y Sergio Berni dejaron al descubierto qué hay detrás de las protestas convocadas por policías bonaerenses;https://www.pagina12.com.ar/322933-axel-kicillof-y-sergio-berni-dejaron-al-descubierto-que-hay-
https://www.pagina12.com.ar/secciones/el-pais?page=401;Un proyecto para promover la construcción;https://www.pagina12.com.ar/323007-un-proyecto-para-promover-la-construccion
https://www.pagina12.com.ar/secciones/el-pais?page=401;"El Gobierno reiteró que las paritarias serán ""sin techo""";https://www.pagina12.com.ar/322934-el-gobierno-reitero-que-las-paritarias-seran-sin-techo
https://www.pagina12.com.ar/secciones/el-pais?page=401;Partió el cuarto vuelo de Aerolíneas en busca de la Sputnik V;https://www.pagina12.com.ar/322906-partio-el-cuarto-vuelo-de-aerolineas-en-busca-de-la-sputnik-
https://www.pagina12.com.ar/secciones/el-pais?page=401;José Luis Gioja dio positivo de coronavirus;https://www.pagina12.com.ar/322886-jose-luis-gioja-dio-positivo-de-coronavirus
https://www.pagina12.com.ar/secciones/el-pais?page=401;"Alberto Fernández: ""Me acusaron de envenenar a la gente y ahora me piden veneno para todos""";https://www.pagina12.com.ar/322818-alberto-fernandez-me-acusaron-de-envenenar-a-la-gente-y-ahor
https://www.pagina12.com.ar/secciones/el-pais?page=401;"Carlos Bianco sobre los policías desafectados: ""Se corrieron de la ley y hay que darles la sanción que corresponde""";https://www.pagina12.com.ar/322821-carlos-bianco-sobre-los-policias-desafectados-se-corrieron-d
https://www.pagina12.com.ar/secciones/el-pais?page=402;El Grupo Sophia, la fundación de Horacio Rodríguez Larreta, perdió la personería jurídica;https://www.pagina12.com.ar/322826-el-grupo-sophia-la-fundacion-de-horacio-rodriguez-larreta-pe
https://www.pagina12.com.ar/secciones/el-pais?page=402;Alejo Ramos Padilla fue designado al frente  del juzgado federal 1 de La Plata;https://www.pagina12.com.ar/322665-alejo-ramos-padilla-fue-designado-al-frente-del-juzgado-fede
https://www.pagina12.com.ar/secciones/el-pais?page=402;Vandalizaron el mural en homenaje a los detenidos desaparecidos de Ferro;https://www.pagina12.com.ar/322829-vandalizaron-el-mural-en-homenaje-a-los-detenidos-desapareci
https://www.pagina12.com.ar/secciones/el-pais?page=402;"Perotti: ""Se vuelve a clases con todos cuidados""";https://www.pagina12.com.ar/322835-perotti-se-vuelve-a-clases-con-todos-cuidados
https://www.pagina12.com.ar/secciones/el-pais?page=402;Sergio Berni desafectó a 400 policías que participaron de la rebelión del año pasado;https://www.pagina12.com.ar/322680-sergio-berni-desafecto-a-400-policias-que-participaron-de-la
https://www.pagina12.com.ar/secciones/el-pais?page=402;Lousteau y Posse en busca del voto radical;https://www.pagina12.com.ar/322838-lousteau-y-posse-en-busca-del-voto-radical
https://www.pagina12.com.ar/secciones/el-pais?page=402;Massa le puso fecha a la sanción de los cambios en el impuesto a las Ganancias ;https://www.pagina12.com.ar/322684-massa-le-puso-fecha-a-la-sancion-de-los-cambios-en-el-impues
https://www.pagina12.com.ar/secciones/el-pais?page=402;El macrismo reclamó el regreso de las clases presenciales que retornan la próxima semana;https://www.pagina12.com.ar/322855-el-macrismo-reclamo-el-regreso-de-las-clases-presenciales-qu
https://www.pagina12.com.ar/secciones/el-pais?page=402;Qué le plantearon a Alberto Fernández las organizaciones de pequeños productores del campo que producen alimentos;https://www.pagina12.com.ar/322705-que-le-plantearon-a-alberto-fernandez-las-organizaciones-de-
