pagSeccion;titulo;href
https://www.pagina12.com.ar/secciones/sociedad?page=151;Allanamientos en varias provincias por una causa internacional de pornografía infantil;https://www.pagina12.com.ar/347081-allanamientos-en-varias-provincias-por-una-causa-internacion
https://www.pagina12.com.ar/secciones/sociedad?page=151;El abogado Beccar Varela logró un arreglo monetario para no ir a juicio por la muerte de Tamara Suetta;https://www.pagina12.com.ar/347231-el-abogado-beccar-varela-logro-un-arreglo-monetario-para-no-
https://www.pagina12.com.ar/secciones/sociedad?page=151;Investigan si Tehuel De la Torre estuvo en Caleta Olivia;https://www.pagina12.com.ar/347108-investigan-si-tehuel-de-la-torre-estuvo-en-caleta-olivia
https://www.pagina12.com.ar/secciones/sociedad?page=151;Se entregó Patricio Reynoso, acusado por el femicidio de Pilar Riesco;https://www.pagina12.com.ar/347114-se-entrego-patricio-reynoso-acusado-por-el-femicidio-de-pila
https://www.pagina12.com.ar/secciones/sociedad?page=151;"Google anunció la llegada de un nuevo cable submarino a la Argentina, ""Firmina""";https://www.pagina12.com.ar/347136-google-anuncio-la-llegada-de-un-nuevo-cable-submarino-a-la-a
https://www.pagina12.com.ar/secciones/sociedad?page=151;Coronavirus en Argentina: se registraron 29.757 nuevos casos y 607 muertes;https://www.pagina12.com.ar/347148-coronavirus-en-argentina-se-registraron-29-757-nuevos-casos-
https://www.pagina12.com.ar/secciones/sociedad?page=151;Entubamiento del Jiménez y reconstrucción de Tinogasta;https://www.pagina12.com.ar/347159-entubamiento-del-jimenez-y-reconstruccion-de-tinogasta
https://www.pagina12.com.ar/secciones/sociedad?page=151;El 60% de la población está vacunado, pero siguen los records de contagios;https://www.pagina12.com.ar/347169-el-60-de-la-poblacion-esta-vacunado-pero-siguen-los-records-
https://www.pagina12.com.ar/secciones/sociedad?page=151;Aborto: un juez antiderechos de Salta impidió el acceso de una mujer a la IVE;https://www.pagina12.com.ar/347185-aborto-un-juez-antiderechos-de-salta-impidio-el-acceso-de-un
https://www.pagina12.com.ar/secciones/sociedad?page=151;El juez que suspendió la aplicación de la Ley IVE posó con representantes de la ultraderecha marplatense;https://www.pagina12.com.ar/347194-el-juez-que-suspendio-la-aplicacion-de-la-ley-ive-poso-con-r
https://www.pagina12.com.ar/secciones/sociedad?page=151;Coronavirus: cómo será la distribución de la nueva partida de Sputnik V;https://www.pagina12.com.ar/347253-coronavirus-como-sera-la-distribucion-de-la-nueva-partida-de
https://www.pagina12.com.ar/secciones/sociedad?page=152;El Gobierno de la Ciudad deberá garantizar el derecho a una vivienda digna a una mujer trans;https://www.pagina12.com.ar/347237-el-gobierno-de-la-ciudad-debera-garantizar-el-derecho-a-una-
https://www.pagina12.com.ar/secciones/sociedad?page=152;Vacunas: ¿por qué las personas que tuvieron coronavirus deben esperar para inmunizarse?;https://www.pagina12.com.ar/347221-vacunas-por-que-las-personas-que-tuvieron-coronavirus-deben-
https://www.pagina12.com.ar/secciones/sociedad?page=152;Se cayó Whatsapp y reportaron fallas en Instagram y Facebook durante varios minutos;https://www.pagina12.com.ar/347200-se-cayo-whatsapp-y-reportaron-fallas-en-instagram-y-facebook
https://www.pagina12.com.ar/secciones/sociedad?page=152;La ANMAT aclaró qué pasó con los respiradores donados por la Fundación Messi;https://www.pagina12.com.ar/347170-la-anmat-aclaro-que-paso-con-los-respiradores-donados-por-la
https://www.pagina12.com.ar/secciones/sociedad?page=152;El primer eclipse solar anular de 2021 ;https://www.pagina12.com.ar/347099-el-primer-eclipse-solar-anular-de-2021
https://www.pagina12.com.ar/secciones/sociedad?page=152;Google le rinde homenaje a Shirley Temple,  la actriz más joven en ganar un Oscar;https://www.pagina12.com.ar/347096-google-le-rinde-homenaje-a-shirley-temple-la-actriz-mas-jove
https://www.pagina12.com.ar/secciones/sociedad?page=152;Condenaron al farmacéutico que alteró vacunas anticovid en Estados Unidos;https://www.pagina12.com.ar/347057-condenaron-al-farmaceutico-que-altero-vacunas-anticovid-en-e
https://www.pagina12.com.ar/secciones/sociedad?page=152;Clima en Buenos Aires: el pronóstico del tiempo para este miércoles 9 de junio;https://www.pagina12.com.ar/347023-clima-en-buenos-aires-el-pronostico-del-tiempo-para-este-mie
https://www.pagina12.com.ar/secciones/sociedad?page=152;Efemérides de hoy: qué pasó un 9 de junio ;https://www.pagina12.com.ar/346818-efemerides-de-hoy-que-paso-un-9-de-junio
https://www.pagina12.com.ar/secciones/sociedad?page=152;La Facultad de Ciencias Sociales de la UBA entregará títulos que respetan la identidad autopercibida;https://www.pagina12.com.ar/346828-la-facultad-de-ciencias-sociales-de-la-uba-entregara-titulos
https://www.pagina12.com.ar/secciones/sociedad?page=152;Santa Fe: apelan la decisión del juez que liberó a un acusado de abuso por usar preservativo  ;https://www.pagina12.com.ar/346854-santa-fe-apelan-la-decision-del-juez-que-libero-a-un-acusado
https://www.pagina12.com.ar/secciones/sociedad?page=153;Expertos descubren por qué el coronavirus es una enfermedad vascular y no respiratoria;https://www.pagina12.com.ar/346891-expertos-descubren-por-que-el-coronavirus-es-una-enfermedad-
https://www.pagina12.com.ar/secciones/sociedad?page=153;Clausuraron una granja de rehabilitación luego de que su administrador amenazara a los pacientes con un arma de fuego;https://www.pagina12.com.ar/346895-clausuraron-una-granja-de-rehabilitacion-luego-de-que-su-adm
https://www.pagina12.com.ar/secciones/sociedad?page=153;Las denuncias por mala praxis que acumulan los grupos antivacunas ;https://www.pagina12.com.ar/346905-las-denuncias-por-mala-praxis-que-acumulan-los-grupos-antiva
